Time,sonic_temperature,PSPWatt_UP_Avg,co2_flux
,[K],W/m2,[繕mol+1s-1m-2]
2022/9/5 14:53,302.979,221.5566667,14.1351
2022/9/5 15:23,303.639,226.7,1.18406
2022/9/5 15:53,303.275,198.7866667,1.32903
2022/9/5 16:23,302.568,97.40066667,0.909522
2022/9/5 16:53,301.995,62.7,1.85204
2022/9/5 17:23,301.418,18.894,0.356373
2022/9/5 17:53,300.926,7.0917,2.68779
2022/9/5 18:23,300.644,0.9453,2.07002
2022/9/5 18:53,300.645,0,3.32956
2022/9/5 19:23,300.519,0,0.249264
2022/9/5 19:53,300.31,0,-3.99863
2022/9/5 20:23,300.169,0,2.12661
2022/9/5 20:53,300.302,0,0.416027
2022/9/5 21:23,300.474,0.0044,1.65566
2022/9/5 21:53,300.945,0.030866667,5.22263
2022/9/5 22:23,300.984,0.010633333,-27.3936
2022/9/5 22:53,300.594,0,143.367
2022/9/6 00:23,296.632,0,-0.9074
2022/9/6 00:53,297.057,0,-11.2452
2022/9/6 01:23,307.497,0,-171.478
2022/9/6 01:53,297.593,0,-11.6032
2022/9/6 02:23,301.171,0.000233333,0.207464
2022/9/6 02:53,296.577,0,7.03352
2022/9/6 03:23,297.328,0,-62.1492
2022/9/6 03:53,299.768,0.000933333,4.00208
2022/9/6 04:23,302.914,0.000466667,10.3543
2022/9/6 04:53,305.307,0.000466667,-12.0383
2022/9/6 06:23,300.601,22.07333333,-2.63131
2022/9/6 06:53,304.586,35.93366667,142.356
2022/9/6 07:23,304.966,57.42766667,-39.2677
2022/9/6 07:53,303.836,372.5333333,-8.13057
2022/9/6 08:23,303.366,392.8933333,-11.3673
2022/9/6 08:53,302.976,224.3866667,-5.12427
2022/9/6 09:23,303.907,396.0966667,-0.195395
2022/9/6 09:53,303.101,233.39,-1.35758
2022/9/6 10:23,302.365,170.9133333,-2.98808
2022/9/6 10:53,302.147,151.72,-5.90023
2022/9/6 11:23,303.557,427.3133333,-10.8313
2022/9/6 11:53,303.685,396.4233333,-3.77993
2022/9/6 12:23,303.657,306.9066667,-6.64899
2022/9/6 12:53,302.769,204.77,-0.543863
2022/9/6 13:23,301.482,77.01866667,0.0852
2022/9/6 13:53,302.864,333.6366667,-3.47566
2022/9/6 14:23,301.711,149.8105,-1.78193
2022/9/6 14:53,299.516,17.73093333,91.3551
2022/9/6 15:23,300.28,39.40633333,2.13631
2022/9/6 15:53,306.356,86.77933333,-6.02423
2022/9/6 16:23,302.728,37.958,26.1087
2022/9/6 16:53,303.612,9.456233333,47.5565
2022/9/6 17:53,303.734,5.8822,5.01747
2022/9/6 18:23,302.693,0.973166667,-54.7688
2022/9/6 18:53,302.334,0.111133333,-19.0159
2022/9/6 19:23,302.026,0.000466667,17.0256
2022/9/6 19:53,303.314,0,15.5066
2022/9/6 20:23,298.5,0,4.40498
2022/9/6 20:53,301.389,0,-1.66748
2022/9/6 21:23,300.971,0,-2.61031
2022/9/6 21:53,300.092,0,6.0869
2022/9/6 22:23,299.721,0,1.32287
2022/9/6 22:53,296.983,0,0.7686
2022/9/6 23:23,298.276,0.111166667,2.0948
2022/9/6 23:53,298.393,0.299866667,1.22754
2022/9/7 00:23,298.523,0.158633333,4.67118
2022/9/7 00:53,298.388,0.1296,3.58749
2022/9/7 01:23,298.396,0.114933333,7.43006
2022/9/7 01:53,298.48,0.2024,1.65145
2022/9/7 02:23,298.154,0.6391,0.295245
2022/9/7 02:53,298.41,0.1213,8.435
2022/9/7 03:23,298.343,0.187533333,3.17809
2022/9/7 03:53,298.219,0.2551,-2.35554
2022/9/7 04:23,297.942,0.014066667,-4.77466
2022/9/7 04:53,297.82,0,3.04412
2022/9/7 05:23,297.786,0,5.20348
2022/9/7 05:53,297.591,0,1.90052
2022/9/7 06:23,298.045,5.144266667,-0.157395
2022/9/7 06:38,298.195,30.67266667,-4.42389
2022/9/7 06:53,298.708,47.29066667,2.91641
2022/9/7 07:23,299.277,62.14466667,2.71327
2022/9/7 07:53,300.189,96.79833333,1.22758
2022/9/7 08:23,300.824,108.4066667,2.35181
2022/9/7 08:53,301.606,147.8066667,-1.08948
2022/9/7 09:23,302.649,227.0566667,-0.715707
2022/9/7 09:53,303.043,295.8,0.00707
2022/9/7 10:23,303.283,327.65,-5.02238
2022/9/7 10:53,302.988,284.11,-1.96221
2022/9/7 11:23,303.29,338.4166667,-4.36555
2022/9/7 11:53,304.753,615.6366667,-9.34079
2022/9/7 12:23,306.097,888.09,-5.00097
2022/9/7 12:53,306.36,824.3233333,-6.36844
2022/9/7 13:23,305.659,718.7366667,-2.55765
2022/9/7 13:53,305.472,766.3233333,-0.693625
2022/9/7 14:23,303.717,186.63,-1.40599
2022/9/7 14:53,302.457,97.0654,-4.65693
2022/9/7 15:23,298.418,15.59,-22.1631
2022/9/7 15:53,298.329,5.204433333,-3.34419
2022/9/7 16:23,298.521,1.717733333,3.10047
2022/9/7 16:53,298.465,1.428133333,6.47556
2022/9/7 17:23,298.152,2.898366667,-17.1536
2022/9/7 17:53,297.698,2.863766667,5.66577
2022/9/7 18:23,297.335,0.169066667,0.812791
2022/9/7 18:53,297.213,0,2.4492
2022/9/7 19:23,297.128,0,6.98164
2022/9/7 19:53,297.277,0.029366667,-1.20348
2022/9/7 20:23,297.109,0.1752,2.12672
2022/9/7 20:53,297.091,0.4354,0.809132
2022/9/7 21:23,297.007,0.3629,1.70028
2022/9/7 21:53,296.861,1.140866667,4.85038
2022/9/7 22:23,296.993,1.153666667,3.02497
2022/9/7 22:53,297.289,1.2157,0.302932
2022/9/7 23:23,297.435,0.879066667,2.62846
2022/9/7 23:53,297.554,1.237633333,2.24232
2022/9/8 00:23,295.9,0.3322,-0.306292
2022/9/8 00:53,296.478,0.022966667,4.07191
2022/9/8 01:23,295.782,0.0042,4.87476
2022/9/8 01:53,295.523,0,2.19328
2022/9/8 02:23,295.394,0,4.11026
2022/9/8 02:53,295.255,0,1.39257
2022/9/8 03:23,295.275,0,1.82187
2022/9/8 03:53,295.097,0,-0.236588
2022/9/8 04:23,294.981,0,14.6332
2022/9/8 04:53,295.779,0,-5.53351
2022/9/8 05:23,295.152,0,-18.279
2022/9/8 05:53,295.604,4.664,4.00563
2022/9/8 06:23,295.526,21.25233333,-0.645825
2022/9/8 06:53,296.952,59.315,0.625947
2022/9/8 07:23,299.593,235.44,-0.853459
2022/9/8 07:53,302.001,394.3566667,-1.64759
2022/9/8 08:23,303.241,467.5,-2.07304
2022/9/8 08:53,304.145,567.6166667,-0.540725
2022/9/8 09:23,304.386,672.55,-0.129761
2022/9/8 09:53,303.852,502.3566667,-1.36085
2022/9/8 10:23,303.691,479.16,-2.04943
2022/9/8 10:53,304.389,544.4566667,-3.84895
2022/9/8 11:23,304.083,499.15,-2.87596
2022/9/8 11:53,304.687,704.4466667,-5.25343
2022/9/8 12:23,306.359,967.1866667,-4.41143
2022/9/8 12:53,304.125,367.5966667,-1.37751
2022/9/8 13:23,303.085,199.7466667,-0.0633
2022/9/8 13:53,304.279,369.6733333,-2.41397
2022/9/8 14:23,303.909,392.2166667,-0.989239
2022/9/8 14:53,305.433,517.1233333,-0.129248
2022/9/8 15:23,304.033,320.1566667,-1.47157
2022/9/8 15:53,303.604,218.6533333,-0.729678
2022/9/8 16:23,303.313,162.83,-1.38571
2022/9/8 16:53,303.294,147.08,-1.0629
2022/9/8 17:23,301.943,61.96566667,0.502922
2022/9/8 17:53,300.94,20.16076667,1.62933
2022/9/8 18:23,299.677,0.3293,1.645
2022/9/8 18:53,299.102,0,7.14737
2022/9/8 19:23,298.623,0,5.41979
2022/9/8 19:53,298.423,0,-1.74407
2022/9/8 20:23,298.259,0,-4.10901
2022/9/8 20:53,298.148,0,-9.25491
2022/9/8 21:23,298.252,0.000233333,-9.97988
2022/9/8 21:53,298.647,0.004133333,23.855
2022/9/8 22:23,298.835,0.014066667,-0.732836
2022/9/8 22:53,298.652,0.063166667,0.576126
2022/9/8 23:23,298.801,0.034566667,4.15575
2022/9/8 23:53,298.618,0.0353,3.21556
2022/9/9 00:23,298.826,0.243966667,0.146559
2022/9/9 00:53,298.82,0.053133333,-5.38949
2022/9/9 01:23,298.552,0.0005,-3.26193
2022/9/9 01:53,298.103,0,0.456056
2022/9/9 02:23,297.754,0.000233333,-7.4883
2022/9/9 02:53,298.057,0.0427,-1.23548
2022/9/9 03:23,297.533,0,-0.129148
2022/9/9 03:53,296.923,0,-1.57675
2022/9/9 04:23,296.731,0,26.4938
2022/9/9 04:53,296.337,0,9.30126
2022/9/9 05:23,295.921,0,-9.3569
2022/9/9 05:53,295.927,3.354,-3.82224
2022/9/9 06:23,296.409,29.92266667,11.2542
2022/9/9 06:53,297.302,78.95133333,-11.0679
2022/9/9 07:23,299.175,209.48,-1.45733
2022/9/9 07:53,300.376,272.3833333,-1.17066
2022/9/9 08:23,302.121,450.15,-3.28675
2022/9/9 08:53,302.734,556.4,-4.68949
2022/9/9 09:23,303.284,667.8666667,-1.36351
2022/9/9 09:53,302.986,413.58,-3.37843
2022/9/9 10:23,304.236,836.09,-0.523312
2022/9/9 10:53,304.734,912.1666667,-4.718
2022/9/9 11:23,305.077,960.1666667,3.78827
2022/9/9 11:53,306.207,1031.366667,1.13466
2022/9/9 12:23,303.951,580.7766667,-1.72196
2022/9/9 12:53,304.011,614.6533333,-2.03293
2022/9/9 13:23,304.108,448.1766667,-3.15511
2022/9/9 13:53,304.767,602.5966667,1.01863
2022/9/9 14:23,303.998,548.7166667,-3.79046
2022/9/9 14:53,303.872,396.6,-1.76196
2022/9/9 15:23,302.934,242.3433333,-1.44856
2022/9/9 15:53,301.97,83.454,-0.348544
2022/9/9 16:23,302.701,123.873,-1.60075
2022/9/9 16:53,302.872,128.872,0.909784
2022/9/9 17:23,302.148,43.231,-0.170425
2022/9/9 17:53,301.062,14.95856667,-0.32495
2022/9/9 18:23,300.068,0.040766667,-0.473966
2022/9/9 18:53,298.979,0,-6.07321
2022/9/9 19:23,298.699,0,-25.0519
2022/9/9 19:53,298.221,0,-1.89688
2022/9/9 20:23,298.182,0,-13.5596
2022/9/9 20:53,298.319,0,0.761985
2022/9/9 21:23,298.048,0,7.96798
2022/9/9 21:53,297.922,0.054166667,-3.78378
2022/9/9 22:23,298.254,0.3886,-4.12368
2022/9/9 22:53,298.552,0.383866667,2.43622
2022/9/9 23:23,298.564,0.110933333,2.68238
2022/9/9 23:53,298.274,0,-0.195345
2022/9/10 00:23,297.754,0,1.21219
2022/9/10 00:53,297.886,0,2.08437
